id,name,Class Nbr.,Class Name,spacegroup,spacegroupset,Locality Num
46802,Itelmenite,8,Orthorhombic dipyramidal,61,Pbca ,2
46804,Joegoldsteinite,32,Hexoctahedral,222,Fd-3m,3
46806,Hermannjahnite,5,Prismatic,0,0,3
46809,Grootfonteinite,18,Dihexagonal pyramidal,114,0,1
46811,Manganiceladonite,0,Unknown,0,0,1
46813,Kainotropite,8,Orthorhombic dipyramidal,71,Pnma ,2
46816,Tatarinovite,15,Hexagonal pyramidal,104,0,2
46818,Maneckiite,8,Orthorhombic dipyramidal,61,0,2
46820,Wiklundite,13,Hexagonal scalenohedral,98,0,1
46822,Lislkirchnerite,5,Prismatic,0,0,2
46824,Shumwayite,5,Prismatic,14,P21/c ,5
46826,Fluorcarmoite-(BaNa),3,Domatic,3,Cc ,1
46829,Wampenite,5,Prismatic,14,P21/a,1
46831,Charleshatchettite,5,Prismatic,10,C2/c ,1
46833,Plavnoite,5,Prismatic,11,C2/m ,1
46835,Honeaite,8,Orthorhombic dipyramidal,62,Pbcm ,4
46850,Riotintoite,1,Pedial,1,P1,1
46877,Marklite,5,Prismatic,14,P21/c ,2
46878,Ferraioloite,0,Unknown,0,0,2
46880,Hansesmarkite,1,Pedial,1,P1,1
46881,Feodosiyite,5,Prismatic,14,P21/c ,1
46883,Ilyukhinite,11,Ditrigonal pyramidal,86,0,2
46885,Dargaite,11,Ditrigonal pyramidal,86,0,1
46888,Mesaite,5,Prismatic,12,0,1
46890,Heptasartorite,5,Prismatic,14,P21/c ,2
46892,Enneasartorite,5,Prismatic,14,P21/c ,2
46894,Hendekasartorite,5,Prismatic,14,P21/c ,1
46905,Castellaroite,5,Prismatic,0,0,4
46907,Fluorwavellite,8,Orthorhombic dipyramidal,0,0,29
46909,Kyawthuite,5,Prismatic,0,0,1
46912,Juansilvaite,5,Prismatic,10,C2/c ,2
46914,Steinmetzite,2,Pinacoidal,2,0,2
46916,Vasilseverginite,5,Prismatic,0,0,1
46922,Kannanite,8,Orthorhombic dipyramidal,69,Pmmn ,1
46965,Millsite,5,Prismatic,14,P21/c ,1
46967,Vránaite,5,Prismatic,11,C2/m ,1
46969,Klaprothite,5,Prismatic,14,P21/c ,6
46970,Péligotite,2,Pinacoidal,2,P-1,1
46972,Wilhelmgümbelite,8,Orthorhombic dipyramidal,0,0,1
47008,Abellaite,18,Dihexagonal pyramidal,114,P63mc,11
47016,Mengxianminite,6,Orthorhombic pyramidal,23,0,1
47018,Tinnunculite,5,Prismatic,14,P21/c ,18
47020,Goryainovite,8,Orthorhombic dipyramidal,62,Pbcm ,3
47021,Ferricoronadite,23,Tetragonal dipyramidal,135,I4/m,5
47022,Zincobriartite,24,Tetragonal scalenohedral,142,I-4 2m,3
47023,Magnesiovoltaite,32,Hexoctahedral,221,Fd3c ,7
47025,Alwilkinsite-(Y),7,Orthorhombic disphenoidal,44,P21 21 21,2
47026,Ottohahnite,2,Pinacoidal,2,P-1,1
